Easting,Northing,Depth,PHI,Vsh
504000,6856000,951.33,0.195939394,0.58
504000,6856000,951.48,0.211393939,0.58
504000,6856000,951.63,0.212363636,0.59
504000,6856000,951.79,0.209090909,0.66
504000,6856000,951.94,0.224909091,0.65
504000,6856000,952.09,0.224,0.67
504000,6856000,952.24,0.207939394,0.66
504000,6856000,952.4,0.205272727,0.63
504000,6856000,952.55,0.201636364,0.63
504000,6856000,952.7,0.202060606,0.64
504000,6856000,952.85,0.204545455,0.66
504000,6856000,953.01,0.206969697,0.67
504000,6856000,953.16,0.191030303,0.67
504000,6856000,953.31,0.209272727,0.64
504000,6856000,953.46,0.213393939,0.67
504000,6856000,953.62,0.207939394,0.68
504000,6856000,953.77,0.209393939,0.64
504000,6856000,953.92,0.227272727,0.64
504000,6856000,954.07,0.246424242,0.64
504000,6856000,954.23,0.245757576,0.65
504000,6856000,954.38,0.220484848,0.66
504000,6856000,954.53,0.218060606,0.7
504000,6856000,954.68,0.221757576,0.73
504000,6856000,954.83,0.219878788,0.72
504000,6856000,954.99,0.221272727,0.73
504000,6856000,955.14,0.216181818,0.69
504000,6856000,955.29,0.200545455,0.67
504000,6856000,955.44,0.150727273,0.63
504000,6856000,955.6,0.151393939,0.65
504000,6856000,955.75,0.179393939,0.71
504000,6856000,955.9,0.19230303,0.64
504000,6856000,956.05,0.199030303,0.62
504000,6856000,956.21,0.193636364,0.66
504000,6856000,956.36,0.190787879,0.67
504000,6856000,956.51,0.20430303,0.68
504000,6856000,956.66,0.219272727,0.72
504000,6856000,956.82,0.234666667,0.7
504000,6856000,956.97,0.233393939,0.71
504000,6856000,957.12,0.223636364,0.72
504000,6856000,957.27,0.230666667,0.72
504000,6856000,957.43,0.220666667,0.67
504000,6856000,957.58,0.224545455,0.61
504000,6856000,957.73,0.227333333,0.7
504000,6856000,957.88,0.214545455,0.71
504000,6856000,958.04,0.232121212,0.69
504000,6856000,958.19,0.220969697,0.69
504000,6856000,958.34,0.212,0.69
504000,6856000,958.49,0.214060606,0.69
504000,6856000,958.64,0.218909091,0.69
504000,6856000,958.8,0.218,0.7
504000,6856000,958.95,0.20830303,0.72
504000,6856000,959.1,0.214666667,0.68
504000,6856000,959.25,0.219878788,0.62
504000,6856000,959.41,0.221272727,0.67
