Layer,Strata,Age,Depth,VshStrata,VshLayer,VcaStrata,VcaLayer,VcpStrata,VcpLayer,VevStrata,VevLayer,VomStrata,VomLayer,VigStrata,VigLayer,YieldStrata,YieldLayer
  0.800000E+01, 0.100000E+02, 0.152600E+03, 0.600000E+00, 0.767622E+00, 0.142802E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.767622E+00, 0.142802E+00,
  0.800000E+01, 0.110000E+02, 0.153667E+03, 0.666667E+00, 0.982769E+00, 0.142802E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.982769E+00, 0.142802E+00,
  0.800000E+01, 0.120000E+02, 0.154733E+03, 0.733333E+00, 0.110438E+01, 0.142802E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.110438E+01, 0.142802E+00,
  0.800000E+01, 0.130000E+02, 0.155800E+03, 0.800000E+00, 0.999939E+00, 0.142802E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.999939E+00, 0.142802E+00,
  0.800000E+01, 0.140000E+02, 0.156867E+03, 0.866667E+00, 0.105722E+01, 0.142802E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.105722E+01, 0.142802E+00,
  0.800000E+01, 0.150000E+02, 0.157933E+03, 0.933333E+00, 0.106369E+01, 0.142802E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.106369E+01, 0.142802E+00,
  0.800000E+01, 0.160000E+02, 0.159000E+03, 0.100000E+01, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.100000E+01,
  0.900000E+01, 0.100000E+01, 0.159000E+03, 0.000000E+00, 0.983949E+00, 0.139146E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.983950E+00, 0.139146E+00,
  0.900000E+01, 0.200000E+01, 0.169833E+03, 0.166667E+00, 0.935504E+00, 0.139146E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.935499E+00, 0.139146E+00,
  0.900000E+01, 0.300000E+01, 0.180667E+03, 0.333333E+00, 0.110222E+01, 0.139146E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.110222E+01, 0.139146E+00,
  0.900000E+01, 0.400000E+01, 0.191500E+03, 0.500000E+00, 0.111150E+01, 0.139146E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.111149E+01, 0.139146E+00,
  0.900000E+01, 0.500000E+01, 0.202333E+03, 0.666667E+00, 0.100073E+01, 0.139146E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100072E+01, 0.139146E+00,
  0.900000E+01, 0.600000E+01, 0.213167E+03, 0.833333E+00, 0.866094E+00, 0.139146E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.866115E+00, 0.139146E+00,
  0.900000E+01, 0.700000E+01, 0.224000E+03, 0.100000E+01, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.100000E+01,
  0.100000E+02, 0.100000E+01, 0.224000E+03, 0.000000E+00, 0.825860E+00, 0.165322E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.825870E+00, 0.165323E+00,
  0.100000E+02, 0.200000E+01, 0.238000E+03, 0.200000E+00, 0.912293E+00, 0.165322E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.912290E+00, 0.165323E+00,
  0.100000E+02, 0.300000E+01, 0.252000E+03, 0.400000E+00, 0.129236E+01, 0.165322E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.129235E+01, 0.165323E+00,
  0.100000E+02, 0.400000E+01, 0.266000E+03, 0.600000E+00, 0.115349E+01, 0.165322E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.115349E+01, 0.165323E+00,
  0.100000E+02, 0.500000E+01, 0.280000E+03, 0.800000E+00, 0.816001E+00, 0.165322E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.816001E+00, 0.165323E+00,
  0.100000E+02, 0.600000E+01, 0.294000E+03, 0.100000E+01, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.100000E+01,
